,offer_id,age,income,M,F,O,send_offer
117,8,69,57000,0,1,0,0
119,5,56,68000,1,0,0,1
120,7,56,68000,1,0,0,0
121,8,56,68000,1,0,0,0
123,6,26,63000,0,1,0,1
124,7,26,63000,0,1,0,1
125,8,26,63000,0,1,0,0
127,6,75,40000,1,0,0,1
128,9,75,40000,1,0,0,1
129,10,75,40000,1,0,0,0
131,1,20,30000,0,1,0,0
132,5,20,30000,0,1,0,0
134,2,45,33000,1,0,0,0
135,3,45,33000,1,0,0,0
136,4,45,33000,1,0,0,1
137,6,45,33000,1,0,0,1
139,2,61,98000,1,0,0,0
140,4,61,98000,1,0,0,0
141,6,61,98000,1,0,0,1
142,9,61,98000,1,0,0,0
143,10,61,98000,1,0,0,0
145,1,69,37000,0,1,0,0
146,4,69,37000,0,1,0,0
147,5,69,37000,0,1,0,0
148,6,69,37000,0,1,0,0
150,2,54,80000,0,1,0,1
151,3,54,80000,0,1,0,0
152,4,54,80000,0,1,0,0
153,7,54,80000,0,1,0,1
154,8,54,80000,0,1,0,0
155,9,54,80000,0,1,0,1
157,2,39,51000,1,0,0,0
158,3,39,51000,1,0,0,0
159,5,39,51000,1,0,0,0
160,8,39,51000,1,0,0,0
161,9,39,51000,1,0,0,1
163,1,41,41000,0,1,0,0
164,4,41,41000,0,1,0,0
165,6,41,41000,0,1,0,1
166,10,41,41000,0,1,0,0
168,1,79,48000,0,1,0,1
169,4,79,48000,0,1,0,0
170,10,79,48000,0,1,0,0
172,1,66,38000,0,1,0,0
173,2,66,38000,0,1,0,0
174,4,66,38000,0,1,0,1
175,8,66,38000,0,1,0,0
177,5,56,52000,0,1,0,0
178,6,56,52000,0,1,0,0
180,4,39,56000,0,1,0,0
181,6,39,56000,0,1,0,1
182,8,39,56000,0,1,0,0
183,10,39,56000,0,1,0,0
185,2,42,96000,1,0,0,1
186,5,42,96000,1,0,0,1
187,6,42,96000,1,0,0,1
188,10,42,96000,1,0,0,1
190,1,78,93000,0,1,0,0
191,2,78,93000,0,1,0,1
192,5,78,93000,0,1,0,1
193,7,78,93000,0,1,0,1
194,9,78,93000,0,1,0,1
196,1,45,48000,1,0,0,0
197,3,45,48000,1,0,0,0
198,5,45,48000,1,0,0,0
199,7,45,48000,1,0,0,0
201,5,29,50000,1,0,0,0
202,7,29,50000,1,0,0,0
203,8,29,50000,1,0,0,0
204,10,29,50000,1,0,0,0
206,6,44,35000,1,0,0,1
207,7,44,35000,1,0,0,0
208,9,44,35000,1,0,0,1
210,1,63,56000,1,0,0,1
211,7,63,56000,1,0,0,1
212,10,63,56000,1,0,0,1
214,5,36,56000,1,0,0,0
215,6,36,56000,1,0,0,1
216,8,36,56000,1,0,0,0
218,2,76,47000,0,1,0,0
219,3,76,47000,0,1,0,0
220,5,76,47000,0,1,0,0
221,6,76,47000,0,1,0,1
223,2,68,87000,1,0,0,0
224,6,68,87000,1,0,0,1
225,9,68,87000,1,0,0,1
226,10,68,87000,1,0,0,1
228,4,75,52000,1,0,0,0
229,8,75,52000,1,0,0,0
230,10,75,52000,1,0,0,1
232,6,67,76000,1,0,0,1
233,7,67,76000,1,0,0,1
234,8,67,76000,1,0,0,0
235,9,67,76000,1,0,0,1
237,2,77,51000,1,0,0,0
238,5,77,51000,1,0,0,0
239,8,77,51000,1,0,0,0
240,9,77,51000,1,0,0,0
242,1,76,64000,1,0,0,0
243,8,76,64000,1,0,0,0
244,10,76,64000,1,0,0,1
246,1,57,98000,1,0,0,0
247,4,57,98000,1,0,0,0
248,5,57,98000,1,0,0,0
250,1,53,72000,0,1,0,1
251,2,53,72000,0,1,0,1
252,6,53,72000,0,1,0,1
253,8,53,72000,0,1,0,0
254,10,53,72000,0,1,0,0
256,1,53,117000,0,1,0,1
257,2,53,117000,0,1,0,1
258,4,53,117000,0,1,0,1
259,7,53,117000,0,1,0,0
261,5,53,55000,0,1,0,0
262,7,53,55000,0,1,0,1
263,9,53,55000,0,1,0,0
264,10,53,55000,0,1,0,0
266,3,61,112000,0,1,0,0
267,6,61,112000,0,1,0,1
268,7,61,112000,0,1,0,0
269,10,61,112000,0,1,0,0
271,8,67,77000,0,1,0,0
272,9,67,77000,0,1,0,0
273,10,67,77000,0,1,0,1
275,5,58,85000,0,1,0,1
276,7,58,85000,0,1,0,1
277,9,58,85000,0,1,0,1
279,3,46,36000,0,1,0,0
280,6,46,36000,0,1,0,0
281,7,46,36000,0,1,0,0
283,1,30,41000,1,0,0,0
284,8,30,41000,1,0,0,0
286,1,59,89000,1,0,0,0
287,3,59,89000,1,0,0,0
288,5,59,89000,1,0,0,0
289,6,59,89000,1,0,0,0
291,1,51,41000,1,0,0,0
292,5,51,41000,1,0,0,0
293,7,51,41000,1,0,0,1
294,9,51,41000,1,0,0,1
296,5,27,35000,1,0,0,0
297,7,27,35000,1,0,0,1
298,8,27,35000,1,0,0,0
299,9,27,35000,1,0,0,0
301,3,40,53000,1,0,0,0
302,8,40,53000,1,0,0,0
303,9,40,53000,1,0,0,0
305,1,73,91000,0,1,0,0
306,6,73,91000,0,1,0,1
307,8,73,91000,0,1,0,0
308,9,73,91000,0,1,0,0
309,10,73,91000,0,1,0,0
311,3,74,107000,0,1,0,0
312,6,74,107000,0,1,0,1
313,7,74,107000,0,1,0,1
315,3,42,66000,1,0,0,0
316,5,42,66000,1,0,0,0
317,6,42,66000,1,0,0,1
319,2,78,58000,1,0,0,1
320,3,78,58000,1,0,0,0
321,8,78,58000,1,0,0,0
323,1,54,53000,0,1,0,0
324,2,54,53000,0,1,0,0
325,7,54,53000,0,1,0,1
326,6,70,74000,0,1,0,0
327,9,70,74000,0,1,0,0
329,1,49,57000,0,1,0,1
330,4,49,57000,0,1,0,1
331,6,49,57000,0,1,0,1
332,8,49,57000,0,1,0,0
333,4,62,57000,0,1,0,0
334,5,62,57000,0,1,0,0
335,6,62,57000,0,1,0,0
337,2,64,70000,1,0,0,1
338,5,64,70000,1,0,0,1
339,6,64,70000,1,0,0,1
340,7,64,70000,1,0,0,1
342,5,89,87000,0,1,0,0
343,6,89,87000,0,1,0,1
344,10,89,87000,0,1,0,1
346,2,73,51000,1,0,0,0
347,5,73,51000,1,0,0,0
348,7,73,51000,1,0,0,1
349,8,73,51000,1,0,0,0
351,6,50,93000,0,1,0,1
352,8,50,93000,0,1,0,0
353,9,50,93000,0,1,0,0
354,10,50,93000,0,1,0,1
356,1,90,98000,0,1,0,0
357,5,90,98000,0,1,0,0
358,8,90,98000,0,1,0,0
360,1,68,84000,0,1,0,0
361,3,68,84000,0,1,0,0
362,5,68,84000,0,1,0,0
363,10,68,84000,0,1,0,0
365,3,60,64000,1,0,0,0
366,4,60,64000,1,0,0,0
367,9,60,64000,1,0,0,1
369,1,45,54000,1,0,0,0
370,2,45,54000,1,0,0,0
371,3,45,54000,1,0,0,0
372,5,45,54000,1,0,0,0
373,7,45,54000,1,0,0,0
375,2,66,49000,1,0,0,1
376,3,66,49000,1,0,0,0
377,6,66,49000,1,0,0,1
378,9,66,49000,1,0,0,1
379,10,66,49000,1,0,0,0
381,3,19,73000,0,1,0,0
382,4,19,73000,0,1,0,0
383,5,19,73000,0,1,0,0
384,7,19,73000,0,1,0,1
386,1,66,58000,0,1,0,0
387,3,66,58000,0,1,0,0
388,4,66,58000,0,1,0,0
389,6,66,58000,0,1,0,1
391,1,72,72000,0,1,0,0
392,2,72,72000,0,1,0,1
393,6,72,72000,0,1,0,1
394,7,72,72000,0,1,0,1
395,9,72,72000,0,1,0,1
397,3,76,63000,1,0,0,0
398,5,76,63000,1,0,0,1
399,7,76,63000,1,0,0,1
400,9,76,63000,1,0,0,0
402,1,52,78000,1,0,0,0
403,2,52,78000,1,0,0,1
404,10,52,78000,1,0,0,0
406,1,55,31000,1,0,0,0
407,2,55,31000,1,0,0,0
408,3,55,31000,1,0,0,0
409,4,55,31000,1,0,0,0
411,2,39,60000,0,1,0,1
412,8,39,60000,0,1,0,0
413,9,39,60000,0,1,0,1
414,10,39,60000,0,1,0,1
416,2,45,44000,0,1,0,0
417,4,45,44000,0,1,0,0
418,7,45,44000,0,1,0,1
419,10,45,44000,0,1,0,0
421,1,57,114000,0,1,0,1
422,2,57,114000,0,1,0,1
423,3,57,114000,0,1,0,0
424,7,57,114000,0,1,0,1
425,9,57,114000,0,1,0,1
427,4,74,48000,1,0,0,0
428,6,74,48000,1,0,0,0
430,1,18,47000,1,0,0,0
431,2,18,47000,1,0,0,0
432,6,18,47000,1,0,0,1
433,7,18,47000,1,0,0,1
434,10,18,47000,1,0,0,0
436,1,53,96000,1,0,0,0
437,6,53,96000,1,0,0,1
438,9,53,96000,1,0,0,1
439,10,53,96000,1,0,0,1
441,10,59,98000,0,1,0,0
443,2,57,46000,1,0,0,0
444,3,57,46000,1,0,0,0
445,7,57,46000,1,0,0,0
447,4,51,56000,0,1,0,0
448,6,51,56000,0,1,0,0
449,8,51,56000,0,1,0,0
451,1,64,37000,0,1,0,0
452,2,64,37000,0,1,0,0
453,4,64,37000,0,1,0,1
454,7,64,37000,0,1,0,1
455,9,64,37000,0,1,0,1
457,3,71,57000,1,0,0,0
458,5,71,57000,1,0,0,0
459,9,71,57000,1,0,0,0
461,1,64,66000,0,1,0,1
462,2,64,66000,0,1,0,0
463,8,64,66000,0,1,0,0
464,10,64,66000,0,1,0,1
466,1,83,46000,1,0,0,0
467,6,83,46000,1,0,0,0
468,8,83,46000,1,0,0,0
469,9,83,46000,1,0,0,0
471,1,26,71000,1,0,0,0
472,4,26,71000,1,0,0,0
473,6,26,71000,1,0,0,0
474,8,26,71000,1,0,0,0
475,10,26,71000,1,0,0,0
477,1,29,58000,0,1,0,0
478,6,29,58000,0,1,0,0
479,7,29,58000,0,1,0,0
480,8,29,58000,0,1,0,0
482,4,43,70000,1,0,0,0
483,5,43,70000,1,0,0,0
484,6,43,70000,1,0,0,0
485,9,43,70000,1,0,0,0
487,1,89,65000,0,1,0,1
488,7,89,65000,0,1,0,1
489,8,89,65000,0,1,0,0
490,10,89,65000,0,1,0,1
492,2,49,79000,0,1,0,0
493,3,49,79000,0,1,0,0
494,4,49,79000,0,1,0,1
495,5,49,79000,0,1,0,0
496,6,49,79000,0,1,0,0
498,1,79,67000,1,0,0,1
499,3,79,67000,1,0,0,0
500,9,79,67000,1,0,0,1
502,1,55,94000,0,1,0,0
503,3,55,94000,0,1,0,0
504,6,55,94000,0,1,0,0
505,7,55,94000,0,1,0,1
506,8,55,94000,0,1,0,0
508,1,55,66000,1,0,0,1
509,3,55,66000,1,0,0,0
511,2,45,31000,1,0,0,0
512,5,45,31000,1,0,0,0
513,8,45,31000,1,0,0,0
514,9,45,31000,1,0,0,0
516,3,52,30000,1,0,0,0
517,5,52,30000,1,0,0,0
518,9,52,30000,1,0,0,0
520,2,39,55000,1,0,0,1
521,4,39,55000,1,0,0,0
522,9,39,55000,1,0,0,0
524,2,77,69000,1,0,0,0
525,5,77,69000,1,0,0,0
526,8,77,69000,1,0,0,0
528,1,66,60000,1,0,0,0
529,4,66,60000,1,0,0,0
530,6,66,60000,1,0,0,1
531,8,66,60000,1,0,0,0
532,10,66,60000,1,0,0,0
534,4,69,87000,0,1,0,1
535,5,69,87000,0,1,0,0
536,9,69,87000,0,1,0,0
538,1,74,53000,1,0,0,0
539,7,74,53000,1,0,0,1
541,5,75,87000,0,1,0,1
542,6,75,87000,0,1,0,1
543,7,75,87000,0,1,0,1
544,9,75,87000,0,1,0,0
545,10,75,87000,0,1,0,1
547,6,59,85000,0,1,0,0
548,7,59,85000,0,1,0,1
549,8,59,85000,0,1,0,0
550,9,59,85000,0,1,0,1
551,10,59,85000,0,1,0,0
553,1,47,66000,1,0,0,1
554,3,47,66000,1,0,0,0
555,10,47,66000,1,0,0,1
557,4,20,69000,1,0,0,0
558,5,20,69000,1,0,0,0
559,6,20,69000,1,0,0,0
560,9,20,69000,1,0,0,0
562,4,60,108000,1,0,0,1
563,6,60,108000,1,0,0,0
564,7,60,108000,1,0,0,1
565,8,60,108000,1,0,0,0
567,3,65,61000,1,0,0,0
568,6,65,61000,1,0,0,0
569,7,65,61000,1,0,0,1
571,5,33,43000,1,0,0,0
572,7,33,43000,1,0,0,1
573,10,33,43000,1,0,0,0
575,3,39,67000,0,1,0,0
576,7,39,67000,0,1,0,0
577,8,39,67000,0,1,0,0
579,3,49,59000,1,0,0,0
580,9,49,59000,1,0,0,1
581,10,49,59000,1,0,0,0
583,1,68,58000,1,0,0,0
584,5,68,58000,1,0,0,0
585,6,68,58000,1,0,0,0
586,7,68,58000,1,0,0,0
587,8,68,58000,1,0,0,0
589,2,42,80000,1,0,0,1
590,3,42,80000,1,0,0,0
591,8,42,80000,1,0,0,0
593,2,72,33000,1,0,0,0
594,4,72,33000,1,0,0,0
595,5,72,33000,1,0,0,0
596,7,72,33000,1,0,0,0
597,9,72,33000,1,0,0,0
598,10,72,33000,1,0,0,0
600,4,18,49000,0,1,0,0
601,5,18,49000,0,1,0,0
602,6,18,49000,0,1,0,1
603,10,18,49000,0,1,0,0
605,4,32,42000,0,1,0,0
606,9,32,42000,0,1,0,0
608,2,67,50000,1,0,0,0
609,3,67,50000,1,0,0,0
610,6,67,50000,1,0,0,1
611,8,67,50000,1,0,0,0
612,10,67,50000,1,0,0,0
614,5,52,42000,1,0,0,0
615,6,52,42000,1,0,0,0
616,8,52,42000,1,0,0,0
618,1,38,64000,1,0,0,1
619,4,38,64000,1,0,0,0
621,1,60,77000,0,1,0,1
622,2,60,77000,0,1,0,0
623,6,60,77000,0,1,0,1
624,7,60,77000,0,1,0,1
625,10,60,77000,0,1,0,0
627,2,62,77000,0,1,0,1
628,3,62,77000,0,1,0,0
629,4,62,77000,0,1,0,0
630,7,62,77000,0,1,0,0
631,9,62,77000,0,1,0,0
633,4,55,51000,0,1,0,1
634,5,55,51000,0,1,0,0
635,8,55,51000,0,1,0,0
636,10,55,51000,0,1,0,0
638,1,22,63000,1,0,0,0
639,2,22,63000,1,0,0,0
640,7,22,63000,1,0,0,0
641,8,22,63000,1,0,0,0
642,9,22,63000,1,0,0,0
644,2,34,41000,1,0,0,1
645,5,34,41000,1,0,0,0
646,7,34,41000,1,0,0,1
647,10,34,41000,1,0,0,0
649,1,46,60000,1,0,0,0
650,4,46,60000,1,0,0,0
651,7,46,60000,1,0,0,1
652,9,46,60000,1,0,0,0
654,5,85,67000,1,0,0,0
655,6,85,67000,1,0,0,1
656,7,85,67000,1,0,0,0
658,3,51,85000,0,1,0,0
659,4,51,85000,0,1,0,0
660,5,51,85000,0,1,0,0
661,6,51,85000,0,1,0,0
662,8,51,85000,0,1,0,0
664,1,53,85000,0,1,0,0
665,4,53,85000,0,1,0,1
666,5,53,85000,0,1,0,0
667,7,53,85000,0,1,0,1
668,8,53,85000,0,1,0,0
670,5,51,92000,1,0,0,1
671,7,51,92000,1,0,0,1
672,9,51,92000,1,0,0,1
674,1,48,44000,1,0,0,0
675,2,48,44000,1,0,0,0
676,5,48,44000,1,0,0,0
677,6,48,44000,1,0,0,1
678,10,48,44000,1,0,0,1
680,4,52,72000,1,0,0,1
681,5,52,72000,1,0,0,0
682,8,52,72000,1,0,0,0
683,10,52,72000,1,0,0,1
685,1,62,53000,1,0,0,1
686,3,62,53000,1,0,0,0
687,10,62,53000,1,0,0,0
689,3,42,62000,1,0,0,0
690,5,42,62000,1,0,0,0
691,7,42,62000,1,0,0,0
692,10,42,62000,1,0,0,0
694,1,55,65000,1,0,0,0
695,2,55,65000,1,0,0,0
696,3,55,65000,1,0,0,0
698,2,27,50000,0,1,0,1
699,8,27,50000,0,1,0,0
700,9,27,50000,0,1,0,0
702,3,68,107000,1,0,0,0
703,5,68,107000,1,0,0,0
704,6,68,107000,1,0,0,1
705,7,68,107000,1,0,0,0
707,4,74,83000,0,1,0,0
708,9,74,83000,0,1,0,0
710,5,77,66000,1,0,0,0
711,6,77,66000,1,0,0,1
712,7,77,66000,1,0,0,1
713,10,77,66000,1,0,0,0
715,2,35,72000,1,0,0,0
716,5,35,72000,1,0,0,0
717,9,35,72000,1,0,0,1
718,10,35,72000,1,0,0,0
720,1,50,69000,0,1,0,1
721,3,50,69000,0,1,0,0
722,7,50,69000,0,1,0,1
723,8,50,69000,0,1,0,0
724,10,50,69000,0,1,0,1
726,1,45,94000,1,0,0,1
727,3,45,94000,1,0,0,0
728,5,45,94000,1,0,0,0
730,3,82,87000,1,0,0,0
732,3,40,57000,1,0,0,0
733,6,40,57000,1,0,0,1
734,8,40,57000,1,0,0,0
736,4,66,34000,1,0,0,0
737,8,66,34000,1,0,0,0
738,9,66,34000,1,0,0,0
740,3,52,63000,1,0,0,0
741,6,52,63000,1,0,0,0
742,7,52,63000,1,0,0,0
744,1,57,89000,0,1,0,0
745,5,57,89000,0,1,0,0
746,6,57,89000,0,1,0,0
747,7,57,89000,0,1,0,1
749,5,68,69000,1,0,0,0
750,8,68,69000,1,0,0,0
752,4,21,52000,1,0,0,1
753,5,21,52000,1,0,0,0
754,6,21,52000,1,0,0,0
755,9,21,52000,1,0,0,1
757,4,61,44000,1,0,0,0
758,6,61,44000,1,0,0,0
759,7,61,44000,1,0,0,0
760,10,61,44000,1,0,0,0
762,2,58,54000,0,1,0,0
763,5,58,54000,0,1,0,0
764,7,58,54000,0,1,0,0
765,10,58,54000,0,1,0,0
767,1,67,54000,0,1,0,0
768,8,67,54000,0,1,0,0
769,9,67,54000,0,1,0,0
770,10,67,54000,0,1,0,0
772,2,24,61000,1,0,0,0
773,3,24,61000,1,0,0,0
774,5,24,61000,1,0,0,0
775,9,24,61000,1,0,0,1
776,10,24,61000,1,0,0,0
778,5,26,35000,1,0,0,0
779,7,26,35000,1,0,0,0
780,9,26,35000,1,0,0,0
781,10,26,35000,1,0,0,0
783,5,71,105000,0,1,0,0
784,6,71,105000,0,1,0,1
785,9,71,105000,0,1,0,1
786,10,71,105000,0,1,0,0
788,1,69,64000,0,1,0,1
789,3,69,64000,0,1,0,0
790,4,69,64000,0,1,0,0
791,10,69,64000,0,1,0,1
792,2,81,93000,1,0,0,0
793,3,81,93000,1,0,0,0
794,5,81,93000,1,0,0,0
795,7,81,93000,1,0,0,0
796,8,81,93000,1,0,0,0
798,1,62,73000,1,0,0,1
799,3,62,73000,1,0,0,0
800,4,62,73000,1,0,0,1
801,8,62,73000,1,0,0,0
803,7,38,74000,1,0,0,1
805,4,61,82000,1,0,0,0
806,5,61,82000,1,0,0,0
807,8,61,82000,1,0,0,0
809,1,52,92000,0,1,0,1
810,2,52,92000,0,1,0,0
811,5,52,92000,0,1,0,1
812,9,52,92000,0,1,0,0
814,3,50,70000,1,0,0,0
815,7,50,70000,1,0,0,1
816,9,50,70000,1,0,0,1
818,1,54,118000,1,0,0,1
819,2,54,118000,1,0,0,1
820,8,54,118000,1,0,0,0
821,9,54,118000,1,0,0,0
823,4,75,109000,0,1,0,1
824,9,75,109000,0,1,0,1
826,1,82,73000,1,0,0,0
827,3,82,73000,1,0,0,0
828,4,82,73000,1,0,0,0
829,5,82,73000,1,0,0,0
830,6,82,73000,1,0,0,1
832,3,64,38000,1,0,0,0
833,4,64,38000,1,0,0,0
834,6,64,38000,1,0,0,0
835,7,64,38000,1,0,0,0
836,10,64,38000,1,0,0,0
838,1,54,99000,0,1,0,1
839,3,54,99000,0,1,0,0
840,6,54,99000,0,1,0,1
841,9,54,99000,0,1,0,0
843,4,82,72000,1,0,0,0
844,5,82,72000,1,0,0,0
845,7,82,72000,1,0,0,1
846,9,82,72000,1,0,0,1
848,3,90,45000,1,0,0,0
849,4,90,45000,1,0,0,0
850,7,90,45000,1,0,0,0
852,1,34,67000,0,1,0,0
853,3,34,67000,0,1,0,0
854,4,34,67000,0,1,0,0
855,6,34,67000,0,1,0,0
856,8,34,67000,0,1,0,0
858,2,44,53000,1,0,0,1
859,3,44,53000,1,0,0,0
860,9,44,53000,1,0,0,0
861,5,79,106000,0,1,0,0
862,6,79,106000,0,1,0,0
863,8,79,106000,0,1,0,0
865,1,58,95000,0,1,0,1
866,2,58,95000,0,1,0,1
867,3,58,95000,0,1,0,0
868,5,58,95000,0,1,0,0
870,1,47,74000,0,1,0,0
871,4,47,74000,0,1,0,0
872,8,47,74000,0,1,0,0
874,1,60,59000,0,1,0,0
875,3,60,59000,0,1,0,0
876,4,60,59000,0,1,0,0
877,8,60,59000,0,1,0,0
878,9,60,59000,0,1,0,0
879,10,60,59000,0,1,0,0
881,3,83,54000,1,0,0,0
882,7,83,54000,1,0,0,1
883,8,83,54000,1,0,0,0
884,9,83,54000,1,0,0,0
885,2,74,103000,0,1,0,0
886,4,74,103000,0,1,0,0
887,6,74,103000,0,1,0,0
888,10,74,103000,0,1,0,0
890,3,89,101000,1,0,0,0
891,6,89,101000,1,0,0,1
892,8,89,101000,1,0,0,0
894,6,68,62000,1,0,0,1
895,7,68,62000,1,0,0,1
896,9,68,62000,1,0,0,1
898,4,63,110000,0,1,0,0
899,5,63,110000,0,1,0,0
900,7,63,110000,0,1,0,1
901,9,63,110000,0,1,0,1
902,10,63,110000,0,1,0,0
904,5,40,51000,0,1,0,0
905,8,40,51000,0,1,0,0
906,9,40,51000,0,1,0,0
907,10,40,51000,0,1,0,0
909,8,79,99000,0,1,0,0
910,9,79,99000,0,1,0,0
911,10,79,99000,0,1,0,0
913,5,71,30000,1,0,0,0
914,8,71,30000,1,0,0,0
915,10,71,30000,1,0,0,0
917,1,76,114000,0,1,0,0
918,2,76,114000,0,1,0,1
919,10,76,114000,0,1,0,0
921,1,89,96000,1,0,0,1
922,2,89,96000,1,0,0,1
923,5,89,96000,1,0,0,0
924,6,89,96000,1,0,0,1
925,8,89,96000,1,0,0,0
927,1,63,36000,1,0,0,0
928,3,63,36000,1,0,0,0
929,4,63,36000,1,0,0,0
930,6,63,36000,1,0,0,0
931,10,63,36000,1,0,0,0
932,3,41,83000,1,0,0,0
933,5,41,83000,1,0,0,0
934,7,41,83000,1,0,0,0
935,10,41,83000,1,0,0,0
937,4,71,56000,0,1,0,0
938,6,71,56000,0,1,0,1
939,7,71,56000,0,1,0,0
940,9,71,56000,0,1,0,0
941,10,71,56000,0,1,0,1
943,3,44,36000,1,0,0,0
944,6,44,36000,1,0,0,0
945,7,44,36000,1,0,0,0
946,10,44,36000,1,0,0,0
948,5,25,73000,1,0,0,1
950,1,27,70000,1,0,0,0
951,2,27,70000,1,0,0,0
952,4,27,70000,1,0,0,0
953,5,27,70000,1,0,0,0
955,2,67,106000,1,0,0,0
956,5,67,106000,1,0,0,0
957,8,67,106000,1,0,0,0
958,10,67,106000,1,0,0,0
960,3,77,80000,0,1,0,0
961,4,77,80000,0,1,0,1
962,5,77,80000,0,1,0,1
963,9,77,80000,0,1,0,1
964,10,77,80000,0,1,0,1
966,2,68,66000,0,1,0,1
967,4,68,66000,0,1,0,1
968,7,68,66000,0,1,0,1
969,10,68,66000,0,1,0,1
971,3,37,64000,1,0,0,0
972,4,37,64000,1,0,0,0
973,5,37,64000,1,0,0,0
974,6,37,64000,1,0,0,1
975,8,37,64000,1,0,0,0
977,5,55,60000,1,0,0,0
978,9,55,60000,1,0,0,0
980,2,30,54000,1,0,0,0
981,6,30,54000,1,0,0,1
982,7,30,54000,1,0,0,1
983,8,30,54000,1,0,0,0
985,4,51,54000,1,0,0,0
986,6,51,54000,1,0,0,1
987,7,51,54000,1,0,0,0
988,8,51,54000,1,0,0,0
989,9,51,54000,1,0,0,0
990,10,51,54000,1,0,0,1
992,1,47,92000,0,1,0,0
993,4,47,92000,0,1,0,0
994,6,47,92000,0,1,0,0
995,8,47,92000,0,1,0,0
997,1,49,48000,1,0,0,0
998,3,49,48000,1,0,0,0
999,6,49,48000,1,0,0,1
1000,7,49,48000,1,0,0,0
1001,8,49,48000,1,0,0,0
1003,2,32,38000,1,0,0,1
1004,4,32,38000,1,0,0,0
1005,8,32,38000,1,0,0,0
1007,5,30,69000,1,0,0,0
1008,7,30,69000,1,0,0,1
1009,8,30,69000,1,0,0,0
1010,10,30,69000,1,0,0,0
1012,1,47,86000,1,0,0,1
1013,3,47,86000,1,0,0,0
1014,6,47,86000,1,0,0,1
1015,7,47,86000,1,0,0,1
1017,4,34,34000,1,0,0,0
1018,8,34,34000,1,0,0,0
1019,9,34,34000,1,0,0,1
1021,2,78,101000,0,1,0,0
1022,5,78,101000,0,1,0,0
1024,3,85,71000,0,1,0,0
1025,7,85,71000,0,1,0,0
1026,8,85,71000,0,1,0,0
1027,9,85,71000,0,1,0,1
1029,1,75,69000,0,1,0,0
1030,4,75,69000,0,1,0,1
1031,5,75,69000,0,1,0,1
1032,8,75,69000,0,1,0,0
