,customer_id,offer_id,offer_received,offer_viewed,offer_completed,time_received,time_viewed,time_completed,offer_duration
214,63,5,1.0,0.0,1.0,336,0,390,240
215,63,6,1.0,1.0,1.0,168,186,330,168
216,63,8,1.0,1.0,0.0,408,468,0,72
218,64,2,2.0,2.0,0.0,168,180,0,120
219,64,3,1.0,0.0,0.0,0,0,0,96
220,64,5,1.0,0.0,0.0,576,0,0,240
221,64,6,1.0,1.0,1.0,504,504,606,168
223,65,2,1.0,1.0,1.0,408,438,414,120
224,65,6,1.0,1.0,1.0,576,630,642,168
225,65,9,2.0,2.0,2.0,0,12,96,120
226,65,10,1.0,1.0,1.0,504,558,642,168
228,66,4,1.0,1.0,1.0,504,534,510,168
229,66,8,1.0,1.0,0.0,0,6,0,72
230,66,10,1.0,1.0,1.0,408,414,420,168
232,67,6,2.0,2.0,2.0,0,30,54,168
233,67,7,1.0,1.0,1.0,336,336,360,240
234,67,8,1.0,1.0,0.0,504,516,0,72
235,67,9,1.0,1.0,1.0,408,408,426,120
237,68,2,1.0,1.0,0.0,504,522,0,120
238,68,5,1.0,0.0,0.0,168,0,0,240
239,68,8,2.0,2.0,0.0,336,378,0,72
240,68,9,1.0,1.0,0.0,576,636,0,120
242,69,1,1.0,0.0,0.0,0,0,0,168
243,69,8,1.0,1.0,0.0,504,534,0,72
244,69,10,1.0,1.0,1.0,336,366,450,168
246,70,1,1.0,0.0,1.0,408,0,492,168
247,70,4,1.0,0.0,0.0,504,0,0,168
248,70,5,1.0,0.0,1.0,336,0,492,240
250,71,1,1.0,1.0,1.0,168,216,246,168
251,71,2,1.0,1.0,1.0,576,594,594,120
252,71,6,1.0,1.0,1.0,0,0,36,168
253,71,8,1.0,1.0,0.0,408,438,0,72
254,71,10,2.0,0.0,2.0,336,0,420,168
256,72,1,1.0,1.0,1.0,336,348,348,168
257,72,2,2.0,2.0,2.0,0,102,108,120
258,72,4,1.0,1.0,1.0,168,276,306,168
259,72,7,1.0,0.0,1.0,504,0,510,240
261,73,5,1.0,0.0,0.0,408,0,0,240
262,73,7,1.0,1.0,1.0,576,582,672,240
263,73,9,2.0,2.0,0.0,0,6,0,120
264,73,10,1.0,0.0,0.0,336,0,0,168
266,74,3,1.0,1.0,0.0,504,582,0,96
267,74,6,1.0,1.0,1.0,408,420,540,168
268,74,7,2.0,2.0,1.0,168,228,540,240
269,74,10,1.0,1.0,0.0,0,120,0,168
271,75,8,1.0,1.0,0.0,336,354,0,72
272,75,9,1.0,1.0,0.0,168,180,0,120
273,75,10,1.0,1.0,1.0,504,516,516,168
275,76,5,1.0,1.0,1.0,336,372,408,240
276,76,7,2.0,2.0,2.0,168,186,198,240
277,76,9,1.0,1.0,1.0,0,12,18,120
279,77,3,2.0,0.0,0.0,408,0,0,96
280,77,6,2.0,2.0,0.0,0,0,0,168
281,77,7,1.0,1.0,0.0,336,336,0,240
283,78,1,1.0,1.0,0.0,408,432,0,168
284,78,8,1.0,1.0,0.0,336,396,0,72
286,79,1,2.0,1.0,1.0,0,48,48,168
287,79,3,1.0,1.0,0.0,576,696,0,96
288,79,5,1.0,0.0,1.0,336,0,342,240
289,79,6,2.0,2.0,0.0,168,168,0,168
291,81,1,1.0,0.0,0.0,504,0,0,168
292,81,5,2.0,1.0,0.0,168,594,0,240
293,81,7,2.0,2.0,2.0,0,36,96,240
294,81,9,1.0,1.0,1.0,336,336,360,120
296,82,5,1.0,0.0,0.0,504,0,0,240
297,82,7,1.0,1.0,1.0,408,474,540,240
298,82,8,2.0,2.0,0.0,0,24,0,72
299,82,9,1.0,1.0,0.0,576,582,0,120
301,83,3,1.0,0.0,0.0,576,0,0,96
302,83,8,1.0,1.0,0.0,504,504,0,72
303,83,9,2.0,2.0,0.0,0,0,0,120
305,85,1,1.0,1.0,1.0,408,444,420,168
306,85,6,1.0,1.0,1.0,168,174,234,168
307,85,8,1.0,1.0,0.0,0,96,0,72
308,85,9,1.0,1.0,1.0,336,384,336,120
309,85,10,1.0,1.0,0.0,576,588,0,168
311,86,3,1.0,0.0,0.0,0,0,0,96
312,86,6,1.0,1.0,1.0,576,606,612,168
313,86,7,3.0,3.0,3.0,336,354,366,240
315,87,3,1.0,1.0,0.0,504,570,0,96
316,87,5,1.0,0.0,1.0,336,0,396,240
317,87,6,1.0,1.0,1.0,408,432,468,168
319,88,2,3.0,3.0,3.0,0,6,90,120
320,88,3,2.0,2.0,0.0,336,342,0,96
321,88,8,1.0,1.0,0.0,168,168,0,72
323,89,1,3.0,3.0,0.0,168,186,0,168
324,89,2,1.0,0.0,0.0,336,0,0,120
325,89,7,2.0,2.0,2.0,0,18,84,240
326,90,6,1.0,1.0,0.0,504,588,0,168
327,90,9,2.0,2.0,0.0,0,18,0,120
329,91,1,1.0,1.0,1.0,336,348,390,168
330,91,4,1.0,1.0,1.0,504,534,534,168
331,91,6,1.0,1.0,1.0,0,18,108,168
332,91,8,2.0,2.0,0.0,408,450,0,72
333,92,4,1.0,1.0,0.0,168,174,0,168
334,92,5,1.0,0.0,0.0,408,0,0,240
335,92,6,1.0,1.0,0.0,504,516,0,168
337,93,2,1.0,1.0,1.0,504,504,510,120
338,93,5,1.0,1.0,1.0,576,648,672,240
339,93,6,1.0,1.0,1.0,168,174,258,168
340,93,7,1.0,1.0,1.0,336,336,426,240
342,94,5,1.0,0.0,1.0,504,0,504,240
343,94,6,2.0,2.0,2.0,408,408,408,168
344,94,10,1.0,1.0,1.0,168,168,258,168
346,95,2,1.0,1.0,0.0,408,432,0,120
347,95,5,1.0,0.0,0.0,336,0,0,240
348,95,7,1.0,1.0,1.0,0,120,228,240
349,95,8,2.0,2.0,0.0,504,504,0,72
351,97,6,2.0,2.0,2.0,0,30,30,168
352,97,8,1.0,1.0,0.0,576,624,0,72
353,97,9,1.0,1.0,1.0,336,348,342,120
354,97,10,1.0,1.0,1.0,408,438,510,168
356,98,1,2.0,1.0,1.0,0,198,36,168
357,98,5,1.0,0.0,0.0,504,0,0,240
358,98,8,1.0,0.0,0.0,336,0,0,72
360,99,1,1.0,0.0,0.0,336,0,0,168
361,99,3,1.0,0.0,0.0,408,0,0,96
362,99,5,2.0,0.0,0.0,0,0,0,240
363,99,10,1.0,0.0,1.0,504,0,576,168
365,100,3,1.0,0.0,0.0,408,0,0,96
366,100,4,1.0,1.0,0.0,168,168,0,168
367,100,9,1.0,1.0,1.0,504,534,594,120
369,101,1,1.0,1.0,0.0,168,210,0,168
370,101,2,1.0,1.0,0.0,0,66,0,120
371,101,3,1.0,0.0,0.0,576,0,0,96
372,101,5,1.0,0.0,0.0,336,0,0,240
373,101,7,1.0,1.0,0.0,408,420,0,240
375,102,2,1.0,1.0,1.0,576,576,600,120
376,102,3,1.0,1.0,0.0,336,360,0,96
377,102,6,2.0,2.0,2.0,0,18,60,168
378,102,9,1.0,1.0,1.0,504,528,540,120
379,102,10,1.0,0.0,1.0,168,0,252,168
381,105,3,1.0,0.0,0.0,408,0,0,96
382,105,4,1.0,1.0,1.0,336,348,342,168
383,105,5,1.0,0.0,0.0,504,0,0,240
384,105,7,2.0,2.0,2.0,0,96,198,240
386,106,1,1.0,1.0,1.0,0,36,24,168
387,106,3,2.0,1.0,0.0,336,348,0,96
388,106,4,1.0,1.0,1.0,576,666,588,168
389,106,6,1.0,1.0,1.0,504,504,510,168
391,107,1,2.0,1.0,2.0,0,0,30,168
392,107,2,1.0,1.0,1.0,408,420,444,120
393,107,6,1.0,1.0,1.0,576,588,606,168
394,107,7,1.0,1.0,1.0,504,510,546,240
395,107,9,1.0,1.0,1.0,336,378,390,120
397,109,3,1.0,1.0,0.0,168,168,0,96
398,109,5,1.0,1.0,1.0,576,576,594,240
399,109,7,2.0,2.0,2.0,0,6,24,240
400,109,9,1.0,1.0,1.0,408,426,408,120
402,110,1,1.0,0.0,1.0,168,0,216,168
403,110,2,2.0,2.0,2.0,0,30,54,120
404,110,10,2.0,1.0,2.0,336,468,480,168
406,111,1,1.0,1.0,0.0,0,78,0,168
407,111,2,1.0,1.0,0.0,408,492,0,120
408,111,3,1.0,0.0,0.0,576,0,0,96
409,111,4,1.0,0.0,1.0,336,0,396,168
411,112,2,1.0,1.0,1.0,576,576,576,120
412,112,8,1.0,1.0,0.0,336,336,0,72
413,112,9,1.0,1.0,1.0,0,0,24,120
414,112,10,1.0,1.0,1.0,408,408,528,168
416,113,2,2.0,1.0,2.0,336,582,396,120
417,113,4,2.0,0.0,1.0,0,0,582,168
418,113,7,1.0,1.0,1.0,168,168,174,240
419,113,10,1.0,0.0,1.0,408,0,474,168
421,114,1,1.0,1.0,1.0,168,198,222,168
422,114,2,1.0,1.0,1.0,0,24,24,120
423,114,3,1.0,0.0,0.0,408,0,0,96
424,114,7,1.0,1.0,1.0,336,348,552,240
425,114,9,2.0,2.0,2.0,504,546,552,120
427,115,4,1.0,1.0,0.0,168,252,0,168
428,115,6,2.0,0.0,0.0,504,0,0,168
430,116,1,1.0,0.0,0.0,336,0,0,168
431,116,2,1.0,1.0,1.0,576,594,582,120
432,116,6,2.0,2.0,2.0,0,12,24,168
433,116,7,1.0,1.0,1.0,504,516,546,240
434,116,10,1.0,0.0,1.0,408,0,468,168
436,117,1,1.0,1.0,0.0,576,606,0,168
437,117,6,2.0,2.0,2.0,168,168,228,168
438,117,9,1.0,1.0,1.0,408,414,462,120
439,117,10,1.0,1.0,1.0,0,6,18,168
441,118,10,3.0,1.0,3.0,0,102,120,168
443,119,2,1.0,1.0,0.0,576,582,0,120
444,119,3,2.0,2.0,0.0,0,144,0,96
445,119,7,1.0,0.0,1.0,504,0,654,240
447,120,4,1.0,0.0,1.0,336,0,468,168
448,120,6,2.0,2.0,1.0,408,426,468,168
449,120,8,2.0,2.0,0.0,0,0,0,72
451,123,1,1.0,1.0,0.0,408,408,0,168
452,123,2,1.0,1.0,0.0,576,594,0,120
453,123,4,1.0,1.0,1.0,504,510,624,168
454,123,7,1.0,1.0,1.0,336,342,378,240
455,123,9,1.0,1.0,1.0,0,6,66,120
457,124,3,1.0,1.0,0.0,0,12,0,96
458,124,5,1.0,0.0,0.0,576,0,0,240
459,124,9,2.0,2.0,0.0,336,336,0,120
461,125,1,1.0,1.0,1.0,336,360,360,168
462,125,2,1.0,1.0,0.0,0,6,0,120
463,125,8,1.0,1.0,0.0,168,180,0,72
464,125,10,1.0,1.0,1.0,408,432,480,168
466,126,1,1.0,1.0,0.0,408,414,0,168
467,126,6,1.0,1.0,0.0,576,582,0,168
468,126,8,1.0,1.0,0.0,0,24,0,72
469,126,9,2.0,2.0,0.0,336,372,0,120
471,127,1,1.0,1.0,0.0,336,342,0,168
472,127,4,1.0,0.0,0.0,504,0,0,168
473,127,6,1.0,1.0,0.0,0,18,0,168
474,127,8,1.0,1.0,0.0,576,588,0,72
475,127,10,1.0,0.0,0.0,168,0,0,168
477,129,1,1.0,1.0,0.0,168,174,0,168
478,129,6,2.0,2.0,1.0,0,18,606,168
479,129,7,1.0,1.0,0.0,336,426,0,240
480,129,8,1.0,1.0,0.0,576,660,0,72
482,130,4,1.0,1.0,0.0,168,222,0,168
483,130,5,1.0,0.0,0.0,504,0,0,240
484,130,6,1.0,1.0,0.0,336,372,0,168
485,130,9,1.0,1.0,0.0,408,408,0,120
487,131,1,1.0,1.0,1.0,408,432,468,168
488,131,7,1.0,1.0,1.0,576,582,660,240
489,131,8,1.0,1.0,0.0,504,528,0,72
490,131,10,1.0,1.0,1.0,168,168,282,168
492,132,2,1.0,1.0,0.0,168,168,0,120
493,132,3,1.0,1.0,0.0,504,528,0,96
494,132,4,1.0,1.0,1.0,576,582,624,168
495,132,5,1.0,1.0,0.0,336,396,0,240
496,132,6,1.0,1.0,1.0,0,78,72,168
498,133,1,2.0,2.0,2.0,0,0,12,168
499,133,3,1.0,0.0,0.0,576,0,0,96
500,133,9,1.0,1.0,1.0,336,366,384,120
502,134,1,1.0,1.0,1.0,504,606,570,168
503,134,3,1.0,1.0,0.0,168,198,0,96
504,134,6,1.0,1.0,1.0,336,396,384,168
505,134,7,1.0,1.0,1.0,408,408,468,240
506,134,8,1.0,1.0,0.0,0,66,0,72
508,135,1,2.0,2.0,2.0,504,522,528,168
509,135,3,3.0,1.0,0.0,0,6,0,96
511,136,2,1.0,1.0,0.0,168,174,0,120
512,136,5,1.0,0.0,0.0,336,0,0,240
513,136,8,1.0,1.0,0.0,576,600,0,72
514,136,9,1.0,1.0,0.0,408,420,0,120
516,137,3,1.0,0.0,0.0,0,0,0,96
517,137,5,1.0,0.0,0.0,576,0,0,240
518,137,9,2.0,2.0,0.0,408,444,0,120
520,138,2,2.0,2.0,2.0,504,528,528,120
521,138,4,1.0,0.0,1.0,408,0,462,168
522,138,9,1.0,1.0,1.0,168,216,204,120
524,139,2,1.0,1.0,0.0,168,270,0,120
525,139,5,1.0,0.0,1.0,0,0,132,240
526,139,8,2.0,1.0,0.0,504,618,0,72
528,140,1,1.0,1.0,0.0,0,18,0,168
529,140,4,1.0,0.0,1.0,336,0,474,168
530,140,6,1.0,1.0,1.0,408,420,474,168
531,140,8,1.0,1.0,0.0,168,174,0,72
532,140,10,1.0,0.0,0.0,504,0,0,168
534,141,4,1.0,1.0,1.0,576,624,666,168
535,141,5,1.0,1.0,0.0,0,24,0,240
536,141,9,2.0,2.0,1.0,168,168,510,120
538,142,1,1.0,1.0,0.0,576,612,0,168
539,142,7,1.0,1.0,1.0,336,360,498,240
541,144,5,1.0,1.0,1.0,576,594,714,240
542,144,6,1.0,1.0,1.0,336,336,336,168
543,144,7,1.0,1.0,1.0,504,504,564,240
544,144,9,1.0,1.0,0.0,168,168,0,120
545,144,10,1.0,1.0,1.0,408,408,564,168
547,145,6,1.0,1.0,1.0,408,426,420,168
548,145,7,1.0,1.0,1.0,576,606,630,240
549,145,8,1.0,1.0,0.0,336,342,0,72
550,145,9,1.0,1.0,1.0,504,528,570,120
551,145,10,2.0,1.0,1.0,0,150,186,168
553,146,1,1.0,1.0,1.0,0,18,18,168
554,146,3,1.0,1.0,0.0,408,474,0,96
555,146,10,1.0,1.0,1.0,168,192,276,168
557,147,4,1.0,0.0,0.0,168,0,0,168
558,147,5,1.0,0.0,0.0,504,0,0,240
559,147,6,1.0,1.0,0.0,576,624,0,168
560,147,9,1.0,1.0,0.0,0,36,0,120
562,148,4,1.0,1.0,1.0,168,246,294,168
563,148,6,1.0,1.0,0.0,336,342,0,168
564,148,7,1.0,1.0,1.0,576,624,630,240
565,148,8,1.0,1.0,0.0,408,462,0,72
567,149,3,2.0,0.0,0.0,408,0,0,96
568,149,6,2.0,1.0,2.0,168,240,336,168
569,149,7,1.0,1.0,1.0,504,504,648,240
571,150,5,2.0,0.0,0.0,0,0,0,240
572,150,7,1.0,1.0,1.0,168,186,408,240
573,150,10,1.0,0.0,0.0,408,0,0,168
575,151,3,3.0,3.0,0.0,168,198,0,96
576,151,7,1.0,1.0,1.0,0,6,0,240
577,151,8,1.0,1.0,0.0,408,420,0,72
579,152,3,1.0,0.0,0.0,408,0,0,96
580,152,9,1.0,1.0,1.0,504,504,612,120
581,152,10,1.0,1.0,0.0,576,630,0,168
583,153,1,1.0,1.0,0.0,576,588,0,168
584,153,5,1.0,1.0,0.0,408,444,0,240
585,153,6,1.0,1.0,0.0,168,174,0,168
586,153,7,1.0,1.0,0.0,504,510,0,240
587,153,8,1.0,1.0,0.0,0,0,0,72
589,154,2,1.0,1.0,1.0,0,6,78,120
590,154,3,1.0,1.0,0.0,336,366,0,96
591,154,8,1.0,1.0,0.0,504,510,0,72
593,155,2,1.0,1.0,0.0,408,414,0,120
594,155,4,1.0,0.0,0.0,0,0,0,168
595,155,5,1.0,0.0,0.0,336,0,0,240
596,155,7,1.0,1.0,0.0,504,528,0,240
597,155,9,1.0,1.0,0.0,576,600,0,120
598,155,10,1.0,0.0,0.0,168,0,0,168
600,156,4,1.0,1.0,0.0,0,24,0,168
601,156,5,1.0,0.0,0.0,168,0,0,240
602,156,6,2.0,2.0,2.0,336,378,486,168
603,156,10,1.0,0.0,0.0,576,0,0,168
605,157,4,1.0,0.0,1.0,504,0,564,168
606,157,9,1.0,1.0,1.0,336,420,378,120
608,158,2,1.0,1.0,0.0,504,504,0,120
609,158,3,1.0,1.0,0.0,0,30,0,96
610,158,6,1.0,1.0,1.0,168,180,210,168
611,158,8,1.0,1.0,0.0,576,606,0,72
612,158,10,1.0,1.0,0.0,336,348,0,168
614,159,5,3.0,0.0,0.0,0,0,0,240
615,159,6,1.0,1.0,0.0,504,570,0,168
616,159,8,1.0,1.0,0.0,336,336,0,72
618,160,1,2.0,2.0,2.0,0,0,24,168
619,160,4,1.0,0.0,1.0,576,0,606,168
621,161,1,1.0,1.0,1.0,168,204,234,168
622,161,2,1.0,1.0,0.0,0,12,0,120
623,161,6,1.0,1.0,1.0,504,504,564,168
624,161,7,2.0,2.0,2.0,408,408,426,240
625,161,10,1.0,0.0,1.0,336,0,426,168
627,162,2,1.0,1.0,1.0,504,516,564,120
628,162,3,1.0,0.0,0.0,0,0,0,96
629,162,4,1.0,0.0,1.0,408,0,564,168
630,162,7,1.0,1.0,0.0,168,246,0,240
631,162,9,1.0,1.0,0.0,576,576,0,120
633,163,4,1.0,1.0,1.0,0,0,36,168
634,163,5,1.0,1.0,0.0,168,174,0,240
635,163,8,1.0,1.0,0.0,336,360,0,72
636,163,10,1.0,1.0,0.0,408,420,0,168
638,164,1,1.0,1.0,0.0,576,576,0,168
639,164,2,1.0,1.0,0.0,0,12,0,120
640,164,7,1.0,1.0,0.0,336,342,0,240
641,164,8,1.0,1.0,0.0,408,408,0,72
642,164,9,1.0,1.0,0.0,504,546,0,120
644,165,2,1.0,1.0,1.0,336,336,402,120
645,165,5,1.0,0.0,0.0,408,0,0,240
646,165,7,1.0,1.0,1.0,504,546,642,240
647,165,10,1.0,0.0,1.0,576,0,642,168
649,166,1,1.0,1.0,0.0,0,12,0,168
650,166,4,1.0,0.0,1.0,408,0,408,168
651,166,7,1.0,1.0,1.0,336,366,384,240
652,166,9,2.0,2.0,1.0,168,204,282,120
654,167,5,1.0,0.0,0.0,408,0,0,240
655,167,6,1.0,1.0,1.0,336,366,462,168
656,167,7,1.0,1.0,0.0,576,600,0,240
658,168,3,1.0,1.0,0.0,0,36,0,96
659,168,4,1.0,0.0,1.0,168,0,258,168
660,168,5,1.0,0.0,1.0,408,0,618,240
661,168,6,1.0,1.0,1.0,576,624,618,168
662,168,8,1.0,1.0,0.0,336,348,0,72
664,170,1,1.0,1.0,1.0,504,546,540,168
665,170,4,1.0,1.0,1.0,408,414,540,168
666,170,5,1.0,0.0,1.0,576,0,618,240
667,170,7,1.0,1.0,1.0,0,18,24,240
668,170,8,1.0,1.0,0.0,336,342,0,72
670,171,5,1.0,1.0,1.0,0,66,120,240
671,171,7,2.0,2.0,2.0,336,336,336,240
672,171,9,2.0,2.0,2.0,168,168,180,120
674,173,1,1.0,1.0,0.0,504,504,0,168
675,173,2,1.0,1.0,0.0,576,576,0,120
