,customer_id,age,became_member_on,income,F,M,O
100,100,60,06/02/2017,64000.0,0,1,0
101,101,45,15/08/2017,54000.0,0,1,0
102,102,66,24/01/2016,49000.0,0,1,0
105,105,19,15/10/2016,73000.0,1,0,0
106,106,66,16/02/2018,58000.0,1,0,0
107,107,72,11/08/2016,72000.0,1,0,0
109,109,76,07/04/2016,63000.0,0,1,0
110,110,52,15/05/2017,78000.0,0,1,0
111,111,55,10/12/2017,31000.0,0,1,0
112,112,39,19/09/2017,60000.0,1,0,0
113,113,45,26/01/2016,44000.0,1,0,0
114,114,57,04/07/2017,114000.0,1,0,0
115,115,74,12/07/2018,48000.0,0,1,0
116,116,18,27/07/2016,47000.0,0,1,0
117,117,53,27/09/2017,96000.0,0,1,0
118,118,59,10/09/2017,98000.0,1,0,0
119,119,57,04/11/2014,46000.0,0,1,0
120,120,51,13/08/2017,56000.0,1,0,0
123,123,64,20/10/2017,37000.0,1,0,0
124,124,71,29/01/2017,57000.0,0,1,0
125,125,64,21/04/2017,66000.0,1,0,0
126,126,83,27/01/2018,46000.0,0,1,0
127,127,26,11/12/2017,71000.0,0,1,0
129,129,29,21/03/2018,58000.0,1,0,0
130,130,43,15/09/2017,70000.0,0,1,0
131,131,89,14/01/2018,65000.0,1,0,0
132,132,49,18/05/2018,79000.0,1,0,0
133,133,79,27/06/2016,67000.0,0,1,0
134,134,55,16/10/2017,94000.0,1,0,0
135,135,55,03/12/2017,66000.0,0,1,0
136,136,45,07/10/2017,31000.0,0,1,0
137,137,52,30/01/2018,30000.0,0,1,0
138,138,39,04/04/2016,55000.0,0,1,0
139,139,77,02/07/2018,69000.0,0,1,0
140,140,66,09/07/2018,60000.0,0,1,0
141,141,69,27/09/2017,87000.0,1,0,0
142,142,74,20/08/2014,53000.0,0,1,0
144,144,75,12/07/2018,87000.0,1,0,0
145,145,59,09/09/2015,85000.0,1,0,0
146,146,47,30/12/2013,66000.0,0,1,0
147,147,20,28/05/2018,69000.0,0,1,0
148,148,60,26/04/2017,108000.0,0,1,0
149,149,65,15/03/2018,61000.0,0,1,0
150,150,33,21/04/2015,43000.0,0,1,0
151,151,39,17/12/2017,67000.0,1,0,0
152,152,49,02/06/2018,59000.0,0,1,0
153,153,68,07/02/2018,58000.0,0,1,0
154,154,42,09/02/2017,80000.0,0,1,0
155,155,72,01/06/2018,33000.0,0,1,0
156,156,18,24/05/2017,49000.0,1,0,0
157,157,32,28/06/2018,42000.0,1,0,0
158,158,67,28/08/2017,50000.0,0,1,0
159,159,52,04/07/2018,42000.0,0,1,0
160,160,38,19/10/2017,64000.0,0,1,0
161,161,60,16/03/2018,77000.0,1,0,0
162,162,62,22/12/2017,77000.0,1,0,0
163,163,55,08/07/2018,51000.0,1,0,0
164,164,22,28/04/2018,63000.0,0,1,0
165,165,34,06/12/2017,41000.0,0,1,0
166,166,46,14/12/2014,60000.0,0,1,0
167,167,85,26/07/2018,67000.0,0,1,0
168,168,51,16/03/2017,85000.0,1,0,0
170,170,53,27/04/2016,85000.0,1,0,0
171,171,51,10/08/2016,92000.0,0,1,0
173,173,48,01/06/2015,44000.0,0,1,0
174,174,52,05/06/2018,72000.0,0,1,0
176,176,62,05/03/2016,53000.0,0,1,0
177,177,42,25/03/2018,62000.0,0,1,0
178,178,55,25/10/2017,65000.0,0,1,0
179,179,27,15/09/2015,50000.0,1,0,0
180,180,68,30/05/2018,107000.0,0,1,0
181,181,74,20/12/2017,83000.0,1,0,0
182,182,77,11/10/2014,66000.0,0,1,0
183,183,35,18/01/2018,72000.0,0,1,0
184,184,50,08/11/2017,69000.0,1,0,0
185,185,45,27/10/2015,94000.0,0,1,0
186,186,82,31/12/2016,87000.0,0,1,0
187,187,40,22/12/2013,57000.0,0,1,0
188,188,66,17/06/2018,34000.0,0,1,0
189,189,52,11/04/2018,63000.0,0,1,0
190,190,57,29/03/2016,89000.0,1,0,0
191,191,68,29/06/2016,69000.0,0,1,0
192,192,21,03/03/2018,52000.0,0,1,0
193,193,61,15/08/2017,44000.0,0,1,0
195,195,58,17/03/2018,54000.0,1,0,0
196,196,67,14/06/2018,54000.0,1,0,0
197,197,24,12/02/2017,61000.0,0,1,0
199,199,26,17/11/2017,35000.0,0,1,0
200,200,71,07/12/2017,105000.0,1,0,0
201,201,69,12/12/2017,64000.0,1,0,0
202,202,81,03/05/2018,93000.0,0,1,0
203,203,62,05/04/2016,73000.0,0,1,0
204,204,38,09/07/2017,74000.0,0,1,0
205,205,61,26/09/2017,82000.0,0,1,0
206,206,52,09/08/2017,92000.0,1,0,0
207,207,50,25/12/2017,70000.0,0,1,0
208,208,54,16/02/2017,118000.0,0,1,0
209,209,75,02/05/2018,109000.0,1,0,0
210,210,82,19/03/2018,73000.0,0,1,0
211,211,64,20/07/2018,38000.0,0,1,0
212,212,54,06/10/2015,99000.0,1,0,0
214,214,82,08/01/2018,72000.0,0,1,0
216,216,90,09/05/2018,45000.0,0,1,0
217,217,34,17/04/2018,67000.0,1,0,0
218,218,44,18/07/2018,53000.0,0,1,0
219,219,79,11/07/2018,106000.0,1,0,0
220,220,58,31/12/2016,95000.0,1,0,0
222,222,47,05/01/2016,74000.0,1,0,0
223,223,60,17/11/2017,59000.0,1,0,0
224,224,83,07/08/2017,54000.0,0,1,0
225,225,74,17/05/2018,103000.0,1,0,0
226,226,89,17/09/2015,101000.0,0,1,0
227,227,68,05/03/2016,62000.0,0,1,0
228,228,63,27/11/2017,110000.0,1,0,0
229,229,40,06/07/2018,51000.0,1,0,0
230,230,79,17/12/2017,99000.0,1,0,0
231,231,71,21/03/2018,30000.0,0,1,0
232,232,76,06/09/2015,114000.0,1,0,0
233,233,89,28/05/2016,96000.0,0,1,0
234,234,63,29/07/2017,36000.0,0,1,0
236,236,41,22/09/2017,83000.0,0,1,0
237,237,71,08/04/2018,56000.0,1,0,0
238,238,44,11/10/2017,36000.0,0,1,0
239,239,25,06/04/2016,73000.0,0,1,0
240,240,27,27/03/2018,70000.0,0,1,0
241,241,67,12/02/2018,106000.0,0,1,0
242,242,77,19/02/2016,80000.0,1,0,0
243,243,68,29/12/2015,66000.0,1,0,0
244,244,37,20/04/2016,64000.0,0,1,0
245,245,55,23/03/2016,60000.0,0,1,0
246,246,30,03/09/2016,54000.0,0,1,0
247,247,51,15/08/2015,54000.0,0,1,0
248,248,47,12/07/2018,92000.0,1,0,0
249,249,49,04/02/2018,48000.0,0,1,0
250,250,32,08/10/2015,38000.0,0,1,0
251,251,30,18/04/2017,69000.0,0,1,0
252,252,47,25/02/2017,86000.0,0,1,0
254,254,34,23/01/2017,34000.0,0,1,0
255,255,78,04/06/2017,101000.0,1,0,0
256,256,85,02/03/2016,71000.0,1,0,0
257,257,75,06/08/2013,69000.0,1,0,0
258,258,76,11/03/2017,71000.0,1,0,0
259,259,89,22/07/2015,59000.0,1,0,0
260,260,58,29/01/2018,70000.0,0,1,0
261,261,23,30/10/2017,49000.0,0,1,0
262,262,58,16/09/2017,53000.0,0,1,0
264,264,64,12/10/2015,95000.0,1,0,0
265,265,72,09/09/2017,39000.0,0,1,0
266,266,66,11/08/2017,72000.0,1,0,0
267,267,49,09/08/2017,68000.0,1,0,0
268,268,43,13/04/2017,71000.0,0,1,0
269,269,58,17/07/2018,39000.0,0,1,0
270,270,43,06/08/2017,76000.0,0,1,0
271,271,56,29/03/2017,87000.0,1,0,0
272,272,69,16/10/2017,118000.0,1,0,0
273,273,60,16/02/2018,94000.0,0,0,1
274,274,81,01/06/2016,70000.0,0,1,0
275,275,42,03/04/2017,91000.0,0,1,0
276,276,75,10/01/2015,71000.0,0,1,0
277,277,62,27/01/2018,73000.0,0,1,0
278,278,55,05/05/2016,54000.0,1,0,0
279,279,65,11/10/2017,39000.0,0,1,0
280,280,52,27/02/2017,46000.0,0,1,0
281,281,30,15/10/2017,40000.0,1,0,0
282,282,74,24/09/2015,75000.0,1,0,0
283,283,100,28/08/2015,63000.0,1,0,0
284,284,26,24/03/2017,40000.0,1,0,0
285,285,56,28/03/2016,53000.0,1,0,0
286,286,50,15/10/2014,90000.0,0,1,0
287,287,73,08/10/2017,95000.0,0,1,0
288,288,49,10/12/2017,74000.0,1,0,0
289,289,37,09/01/2016,50000.0,0,1,0
290,290,65,12/02/2016,57000.0,0,1,0
291,291,64,25/02/2016,81000.0,1,0,0
292,292,48,14/10/2016,53000.0,1,0,0
293,293,20,12/08/2015,32000.0,0,1,0
295,295,46,23/07/2018,40000.0,0,1,0
296,296,24,27/04/2015,69000.0,0,1,0
297,297,71,26/08/2015,95000.0,0,1,0
298,298,50,25/05/2018,78000.0,1,0,0
299,299,37,15/05/2017,92000.0,0,1,0
300,300,57,22/05/2016,81000.0,1,0,0
302,302,52,25/04/2014,85000.0,0,1,0
303,303,41,24/08/2016,41000.0,0,1,0
304,304,66,18/06/2017,74000.0,1,0,0
305,305,66,01/10/2015,87000.0,1,0,0
306,306,68,25/10/2017,120000.0,1,0,0
307,307,20,08/03/2016,70000.0,0,1,0
308,308,43,04/07/2017,42000.0,0,1,0
309,309,73,12/12/2017,38000.0,0,1,0
311,311,42,29/05/2017,56000.0,1,0,0
312,312,82,04/06/2016,110000.0,0,1,0
314,314,70,09/11/2017,92000.0,1,0,0
315,315,42,10/10/2017,71000.0,1,0,0
316,316,48,03/09/2015,62000.0,0,1,0
317,317,53,10/09/2015,93000.0,1,0,0
318,318,64,04/03/2018,67000.0,0,1,0
319,319,79,23/01/2018,90000.0,0,1,0
320,320,51,11/05/2016,55000.0,0,1,0
321,321,45,20/01/2018,88000.0,1,0,0
322,322,48,02/06/2016,105000.0,1,0,0
324,324,54,24/10/2015,119000.0,1,0,0
325,325,52,10/07/2018,48000.0,0,1,0
326,326,28,24/09/2013,68000.0,0,1,0
327,327,69,02/05/2014,47000.0,0,1,0
328,328,73,27/06/2017,92000.0,0,1,0
330,330,67,13/08/2017,71000.0,1,0,0
331,331,76,13/06/2018,34000.0,1,0,0
332,332,55,21/11/2015,53000.0,1,0,0
333,333,89,23/06/2018,83000.0,1,0,0
335,335,57,29/04/2018,41000.0,0,1,0
337,337,54,11/02/2018,70000.0,1,0,0
339,339,58,27/12/2017,73000.0,0,1,0
341,341,49,23/11/2017,39000.0,0,1,0
342,342,73,07/05/2018,79000.0,1,0,0
343,343,58,19/02/2017,76000.0,1,0,0
344,344,51,14/12/2017,70000.0,0,1,0
345,345,74,18/04/2016,78000.0,0,1,0
346,346,53,06/09/2015,95000.0,0,1,0
347,347,61,27/02/2018,32000.0,0,1,0
349,349,41,24/10/2017,55000.0,0,1,0
350,350,64,08/10/2017,95000.0,1,0,0
353,353,42,08/09/2017,75000.0,0,1,0
354,354,50,26/04/2016,57000.0,0,1,0
355,355,60,03/09/2017,56000.0,0,1,0
356,356,57,08/04/2016,83000.0,1,0,0
357,357,39,07/04/2017,54000.0,1,0,0
359,359,57,27/08/2016,67000.0,1,0,0
360,360,57,16/12/2017,71000.0,0,1,0
361,361,68,18/03/2016,51000.0,0,1,0
362,362,83,10/09/2015,114000.0,1,0,0
363,363,35,02/01/2018,72000.0,1,0,0
364,364,90,01/01/2018,72000.0,1,0,0
365,365,56,04/04/2018,72000.0,0,1,0
367,367,84,07/09/2017,81000.0,0,1,0
368,368,62,12/03/2018,39000.0,0,1,0
369,369,63,23/02/2017,58000.0,0,1,0
371,371,67,05/01/2016,56000.0,0,1,0
372,372,68,26/11/2017,50000.0,1,0,0
373,373,55,08/05/2017,73000.0,0,1,0
376,376,24,07/02/2017,59000.0,1,0,0
377,377,40,15/08/2017,39000.0,0,1,0
378,378,83,18/01/2018,61000.0,0,1,0
381,381,63,16/03/2017,41000.0,1,0,0
382,382,59,16/01/2018,59000.0,1,0,0
383,383,49,07/12/2017,42000.0,0,0,1
384,384,61,12/06/2016,99000.0,1,0,0
385,385,42,13/06/2018,57000.0,0,1,0
386,386,58,29/01/2018,36000.0,0,1,0
387,387,48,21/10/2016,44000.0,1,0,0
388,388,35,29/08/2017,64000.0,0,1,0
389,389,36,15/03/2018,31000.0,0,1,0
390,390,41,14/04/2016,100000.0,1,0,0
391,391,83,30/04/2017,73000.0,1,0,0
392,392,53,15/10/2017,87000.0,0,1,0
394,394,53,15/01/2016,97000.0,1,0,0
395,395,80,10/01/2018,48000.0,1,0,0
396,396,25,16/11/2015,66000.0,0,1,0
397,397,63,04/11/2015,119000.0,0,1,0
398,398,63,14/06/2016,66000.0,1,0,0
399,399,56,23/01/2018,109000.0,1,0,0
400,400,43,04/10/2017,59000.0,0,1,0
401,401,58,14/03/2016,58000.0,1,0,0
402,402,59,23/01/2017,59000.0,0,1,0
403,403,49,18/03/2018,104000.0,0,1,0
404,404,63,12/09/2017,70000.0,1,0,0
405,405,42,10/12/2015,94000.0,0,1,0
406,406,52,17/01/2018,57000.0,1,0,0
407,407,57,08/04/2018,37000.0,1,0,0
408,408,56,09/11/2017,59000.0,1,0,0
409,409,80,15/10/2017,87000.0,0,1,0
410,410,43,11/02/2016,52000.0,0,1,0
411,411,54,14/11/2017,70000.0,0,1,0
412,412,28,11/11/2016,73000.0,0,1,0
413,413,57,08/10/2017,95000.0,1,0,0
414,414,71,10/03/2015,67000.0,0,1,0
416,416,64,18/04/2018,112000.0,1,0,0
417,417,20,31/05/2014,49000.0,0,1,0
420,420,36,23/04/2017,58000.0,1,0,0
421,421,45,04/10/2016,99000.0,1,0,0
422,422,71,17/12/2014,65000.0,0,1,0
423,423,67,01/06/2018,89000.0,0,1,0
424,424,72,22/09/2016,81000.0,1,0,0
425,425,51,12/05/2018,100000.0,0,1,0
427,427,48,19/09/2017,68000.0,0,1,0
428,428,53,10/04/2018,60000.0,0,1,0
429,429,25,15/02/2018,53000.0,0,1,0
430,430,79,10/01/2018,85000.0,1,0,0
431,431,19,24/06/2018,32000.0,0,1,0
432,432,28,11/04/2018,49000.0,1,0,0
433,433,56,11/06/2014,76000.0,0,1,0
434,434,44,19/03/2014,37000.0,0,1,0
435,435,25,25/12/2017,40000.0,0,1,0
436,436,61,13/01/2018,78000.0,1,0,0
437,437,34,22/09/2017,59000.0,0,1,0
438,438,41,10/12/2017,37000.0,1,0,0
439,439,44,04/12/2016,51000.0,0,1,0
440,440,51,29/06/2018,92000.0,1,0,0
441,441,47,09/11/2017,44000.0,0,1,0
442,442,63,07/07/2018,70000.0,1,0,0
443,443,62,26/11/2017,61000.0,0,1,0
444,444,66,03/07/2018,71000.0,0,1,0
445,445,62,08/12/2017,70000.0,0,1,0
446,446,83,10/04/2016,88000.0,0,1,0
447,447,43,27/06/2018,58000.0,0,1,0
448,448,66,04/12/2016,94000.0,1,0,0
449,449,70,18/11/2017,44000.0,0,1,0
450,450,65,12/01/2018,66000.0,1,0,0
451,451,33,06/11/2016,54000.0,1,0,0
452,452,63,26/07/2018,78000.0,0,1,0
453,453,77,01/08/2017,42000.0,0,1,0
454,454,49,16/10/2017,57000.0,1,0,0
455,455,53,23/01/2017,104000.0,0,1,0
456,456,61,28/02/2016,87000.0,1,0,0
457,457,60,15/12/2015,38000.0,0,1,0
459,459,44,18/09/2017,60000.0,1,0,0
460,460,69,22/06/2015,62000.0,0,1,0
461,461,39,24/05/2018,71000.0,0,1,0
462,462,38,26/03/2015,55000.0,1,0,0
463,463,83,23/12/2017,99000.0,1,0,0
464,464,63,24/01/2016,94000.0,1,0,0
465,465,41,15/10/2015,41000.0,1,0,0
466,466,54,12/11/2017,39000.0,0,1,0
468,468,41,26/01/2018,55000.0,0,1,0
471,471,56,22/09/2017,69000.0,1,0,0
473,473,50,18/01/2018,98000.0,0,1,0
474,474,58,23/11/2015,55000.0,0,1,0
475,475,39,25/04/2017,61000.0,0,1,0
476,476,60,26/09/2017,55000.0,1,0,0
477,477,60,06/09/2016,74000.0,1,0,0
478,478,24,03/07/2018,38000.0,0,1,0
479,479,48,30/11/2016,57000.0,0,1,0
480,480,50,26/03/2018,110000.0,0,1,0
481,481,41,30/07/2017,67000.0,1,0,0
482,482,45,04/05/2015,84000.0,0,1,0
483,483,48,09/07/2016,93000.0,0,1,0
484,484,59,01/02/2018,87000.0,0,1,0
485,485,43,23/04/2018,45000.0,0,1,0
486,486,56,21/10/2017,67000.0,1,0,0
487,487,54,06/12/2016,93000.0,0,1,0
488,488,48,22/07/2018,47000.0,1,0,0
492,492,63,26/12/2017,49000.0,0,1,0
494,494,47,02/12/2017,35000.0,0,1,0
495,495,52,30/08/2016,56000.0,0,1,0
496,496,58,05/09/2016,78000.0,1,0,0
497,497,78,09/05/2015,39000.0,0,1,0
498,498,43,01/07/2014,40000.0,0,1,0
499,499,68,06/08/2017,61000.0,0,1,0
500,500,18,03/05/2015,48000.0,0,1,0
501,501,39,19/09/2016,85000.0,1,0,0
502,502,74,21/07/2018,99000.0,0,1,0
503,503,53,19/01/2017,98000.0,1,0,0
504,504,61,23/09/2015,67000.0,1,0,0
505,505,23,28/04/2018,54000.0,0,1,0
506,506,46,09/11/2017,55000.0,0,1,0
507,507,51,27/08/2017,78000.0,0,1,0
508,508,77,07/04/2018,86000.0,0,1,0
509,509,79,26/10/2017,91000.0,1,0,0
510,510,41,14/05/2015,41000.0,0,1,0
511,511,60,17/02/2016,78000.0,1,0,0
512,512,54,23/11/2017,47000.0,1,0,0
513,513,63,20/09/2015,89000.0,0,0,1
514,514,73,14/04/2018,76000.0,0,1,0
515,515,47,11/02/2018,77000.0,0,1,0
516,516,84,01/04/2016,82000.0,0,1,0
518,518,20,01/09/2017,56000.0,0,1,0
519,519,24,18/01/2015,35000.0,1,0,0
520,520,58,10/03/2017,71000.0,1,0,0
521,521,35,28/09/2017,40000.0,0,1,0
523,523,57,06/08/2017,33000.0,0,1,0
524,524,87,10/04/2015,55000.0,0,1,0
525,525,86,06/05/2015,84000.0,1,0,0
526,526,57,17/01/2018,100000.0,1,0,0
527,527,61,22/10/2017,112000.0,0,1,0
528,528,25,21/10/2017,53000.0,0,1,0
529,529,38,13/05/2015,31000.0,0,1,0
530,530,94,28/11/2014,50000.0,0,1,0
531,531,59,12/12/2015,61000.0,0,1,0
532,532,49,31/12/2017,73000.0,1,0,0
533,533,61,14/06/2016,72000.0,1,0,0
535,535,31,01/11/2017,64000.0,0,1,0
536,536,75,02/11/2017,53000.0,1,0,0
539,539,51,05/04/2018,65000.0,0,1,0
540,540,68,01/12/2017,74000.0,0,1,0
541,541,86,24/05/2018,71000.0,0,1,0
542,542,62,07/07/2018,117000.0,1,0,0
543,543,61,27/06/2018,64000.0,0,1,0
545,545,63,27/06/2018,57000.0,1,0,0
546,546,26,04/12/2017,52000.0,1,0,0
547,547,50,02/11/2015,77000.0,1,0,0
549,549,45,25/06/2017,93000.0,1,0,0
550,550,88,14/02/2016,64000.0,1,0,0
551,551,50,08/09/2017,92000.0,1,0,0
552,552,65,09/09/2017,119000.0,1,0,0
554,554,55,17/07/2017,76000.0,0,1,0
555,555,71,06/04/2016,95000.0,0,1,0
556,556,34,25/09/2015,46000.0,1,0,0
557,557,81,25/08/2017,65000.0,0,1,0
559,559,65,22/08/2013,98000.0,1,0,0
562,562,63,26/03/2018,62000.0,1,0,0
563,563,73,27/05/2016,58000.0,0,1,0
564,564,84,25/01/2018,77000.0,1,0,0
566,566,55,13/06/2018,62000.0,1,0,0
567,567,63,24/09/2017,70000.0,0,1,0
568,568,24,16/04/2018,51000.0,1,0,0
569,569,36,30/07/2013,74000.0,0,1,0
570,570,56,07/06/2016,69000.0,0,1,0
571,571,65,02/05/2017,119000.0,1,0,0
572,572,75,23/06/2018,75000.0,0,1,0
573,573,71,20/07/2016,114000.0,0,1,0
574,574,71,24/12/2017,118000.0,0,1,0
575,575,61,25/04/2017,39000.0,0,1,0
576,576,73,16/03/2018,88000.0,0,0,1
577,577,19,21/03/2018,73000.0,0,1,0
578,578,64,24/07/2017,34000.0,1,0,0
579,579,66,20/10/2017,112000.0,1,0,0
580,580,37,24/02/2018,59000.0,0,1,0
581,581,22,20/12/2016,49000.0,0,1,0
582,582,54,19/07/2018,96000.0,1,0,0
583,583,62,05/01/2018,73000.0,0,1,0
584,584,50,06/01/2018,75000.0,1,0,0
585,585,80,26/07/2017,87000.0,1,0,0
586,586,55,23/09/2015,112000.0,0,1,0
587,587,40,03/03/2017,50000.0,0,1,0
588,588,43,18/12/2015,52000.0,0,1,0
589,589,61,05/02/2017,53000.0,0,1,0
590,590,32,31/05/2017,43000.0,1,0,0
592,592,68,03/09/2017,32000.0,1,0,0
593,593,66,21/08/2017,104000.0,1,0,0
594,594,36,26/12/2017,35000.0,0,1,0
595,595,38,19/10/2017,60000.0,0,1,0
596,596,80,28/07/2015,54000.0,1,0,0
597,597,82,23/01/2018,68000.0,1,0,0
598,598,45,27/10/2015,74000.0,0,1,0
599,599,89,26/10/2017,63000.0,0,1,0
600,600,45,07/12/2017,94000.0,1,0,0
601,601,59,05/04/2018,35000.0,0,1,0
602,602,22,22/03/2018,44000.0,0,1,0
603,603,67,14/07/2017,50000.0,1,0,0
604,604,30,05/12/2016,41000.0,1,0,0
606,606,56,02/04/2018,88000.0,0,1,0
607,607,53,14/01/2016,100000.0,1,0,0
610,610,32,28/10/2016,58000.0,0,1,0
611,611,51,23/02/2016,73000.0,1,0,0
612,612,38,25/12/2017,66000.0,1,0,0
613,613,52,13/01/2014,45000.0,1,0,0
615,615,55,08/09/2016,68000.0,0,1,0
616,616,81,09/10/2017,41000.0,0,1,0
617,617,55,03/11/2017,78000.0,0,1,0
618,618,51,02/02/2014,67000.0,1,0,0
620,620,71,04/09/2015,74000.0,1,0,0
621,621,45,03/03/2016,84000.0,0,1,0
624,624,49,16/10/2015,71000.0,0,1,0
625,625,62,20/09/2017,48000.0,0,1,0
626,626,65,16/10/2015,99000.0,1,0,0
628,628,50,09/01/2018,63000.0,1,0,0
629,629,20,03/02/2018,60000.0,1,0,0
630,630,49,30/04/2018,31000.0,1,0,0
631,631,55,24/09/2017,83000.0,0,1,0
632,632,58,24/10/2014,54000.0,0,1,0
634,634,95,13/09/2017,64000.0,1,0,0
635,635,83,12/01/2018,99000.0,1,0,0
636,636,56,14/02/2016,70000.0,1,0,0
637,637,66,23/05/2017,54000.0,0,1,0
638,638,87,08/08/2017,74000.0,0,1,0
640,640,55,26/08/2016,89000.0,0,1,0
641,641,52,01/08/2017,114000.0,1,0,0
642,642,59,26/12/2016,83000.0,1,0,0
643,643,59,15/05/2016,51000.0,1,0,0
644,644,49,28/11/2017,74000.0,1,0,0
645,645,62,04/04/2014,46000.0,1,0,0
646,646,56,26/08/2015,80000.0,1,0,0
647,647,51,01/04/2017,97000.0,1,0,0
648,648,47,08/06/2014,62000.0,1,0,0
649,649,38,13/04/2016,96000.0,0,1,0
650,650,43,09/07/2018,44000.0,0,1,0
651,651,43,21/10/2016,72000.0,0,1,0
652,652,49,06/11/2015,84000.0,0,1,0
653,653,36,25/09/2017,57000.0,1,0,0
654,654,45,24/11/2016,58000.0,1,0,0
656,656,53,09/06/2018,95000.0,0,1,0
657,657,43,06/08/2017,60000.0,0,1,0
659,659,18,19/06/2017,67000.0,1,0,0
660,660,40,02/06/2016,41000.0,0,1,0
661,661,83,21/03/2017,114000.0,1,0,0
662,662,49,23/01/2018,65000.0,0,1,0
663,663,51,23/03/2017,106000.0,1,0,0
664,664,25,29/03/2018,55000.0,0,1,0
665,665,71,05/01/2018,55000.0,0,1,0
666,666,58,17/09/2017,71000.0,0,1,0
667,667,53,12/07/2014,36000.0,0,1,0
668,668,83,15/06/2017,93000.0,1,0,0
669,669,46,15/03/2016,56000.0,0,1,0
670,670,69,25/02/2017,97000.0,1,0,0
671,671,51,02/08/2017,73000.0,0,1,0
672,672,61,24/02/2018,68000.0,0,1,0
673,673,81,04/08/2017,101000.0,1,0,0
674,674,60,02/02/2018,41000.0,0,1,0
675,675,48,10/09/2015,75000.0,0,1,0
676,676,48,23/09/2015,87000.0,1,0,0
677,677,73,24/01/2014,63000.0,0,1,0
678,678,41,11/02/2018,89000.0,1,0,0
